N/o,Data anuntului,IDNO,Denumirea,Adresa,Din,In
172,2025-04-30,1008600004135,"Societatea cu Răspundere Limitată ""BS CONSULTING SYNERGY""","MD-2051, str. Nicolae Costin 44/3, ap.(of.) 60, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FMS CONSTRUCT""","Societatea cu Răspundere Limitată ""BS CONSULTING SYNERGY"""
173,2025-05-02,1021600030498,"Societatea cu Răspundere Limitată ""TRUST CAPITAL""","MD-3031, str. Ion Creangă 31, s. Racovăţ, r-l Soroca, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""TRUST CAPITAL"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""TRUST CAPITAL"""
174,2025-05-05,1003600053275,"Societatea cu Răspundere Limitată ""NECTAR-S""","MD-2069, str. Calea Ieşilor 6, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""NECTAR-S"" S.R.L.","Societatea cu Răspundere Limitată ""NECTAR-S"""
175,2025-05-05,1024600004210,"Societatea cu Răspundere Limitată ""WESTFIELD EUROPE""","MD-2012, str. 31 August 1989 64, ap.(of.) 21, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""WESTFIELD PRINTING""","Societatea cu Răspundere Limitată ""WESTFIELD EUROPE"""
176,2025-05-05,1018600043281,"Societatea cu Răspundere Limitată ""NOVAC VIVA COMPANY""","MD-2012, str. Mihai Eminescu 72, ap.(of.) 105, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""U DESIGN STUDIO""","Societatea cu Răspundere Limitată ""NOVAC VIVA COMPANY"""
177,2025-05-06,1003600067931,"Asociaţia de Proprietari din Condominiu ""A0150-0309""","MD-2020, str. Iazului 13, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.225""","Asociaţia de Proprietari din Condominiu ""A0150- 0309"""
178,2025-05-07,1023600047182,"Întreprinderea Socială ""ROBOSPACE"" Societate cu Răspundere Limitată","MD-2043, str. Independenţei 4/6, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ROBOSPACE""","Întreprinderea Socială ""ROBOSPACE"" Societate cu Răspundere Limitată"
179,2025-05-08,1023600035279,"Societatea cu Răspundere Limitată ""SOLOF REI GROUP""","MD-4601, str. Serghei Lazo 66, mun. Edineţ, r- l Edineţ, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BY FITSOLO""","Societatea cu Răspundere Limitată ""SOLOF REI GROUP"""
180,2025-05-08,1008600014181,"Societatea cu Răspundere Limitată ""AGROAREA""","MD-2068, bd. Moscova 17/4, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ABDALIS""","Societatea cu Răspundere Limitată ""AGROAREA"""
181,2025-05-12,1010600043458,"Societatea cu Răspundere Limitată ""ASA BUSINESS CONSULTING""","MD-2008, str. Barbu Lăutaru 27, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""ASA BUSINESS CONSULTING"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""ASA BUSINESS CONSULTING"""
182,2025-05-12,1003600017420,"Societatea cu Răspundere Limitată ""CRISTAL-S.A.""","MD-2044, str. Ginta Latină 19, ap.(of.) 8, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""CRISTAL-S.A.""","Societatea cu Răspundere Limitată ""CRISTAL- S.A."""
183,2025-05-12,1024600076451,"Societatea cu Răspundere Limitată ""AVALON RESTAURANT & CAFE""","MD-2002, sos. Munceşti 280/3, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ACLASS PRIM""","Societatea cu Răspundere Limitată ""AVALON RESTAURANT & CAFE"""
184,2025-05-12,1019600026841,"Societatea cu Răspundere Limitată ""VIACONTO""","MD-2005, str. Iacob Hîncu 8, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""VIACONTO MINICREDIT"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""VIACONTO"""
185,2025-05-12,1019600054954,"Societatea cu Răspundere Limitată ""ATLAS TECHNOLOGY SOLUTIONS""","MD-2004, str. Ivan Zaikin 10, ap.(of.) 6, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ELEMENTS GS""","Societatea cu Răspundere Limitată ""ATLAS TECHNOLOGY SOLUTIONS"""
186,2025-05-14,1022600044852,"Societatea cu Răspundere Limitată ""CORAL COMPANIES""","MD-2075, bd. Mircea cel Batrîn 26/7, ap.(of.) 42, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""EFFICIENT ELECTRICITY SOLUTIONS""","Societatea cu Răspundere Limitată ""CORAL COMPANIES"""
187,2025-05-14,1006600050987,"Societatea cu Răspundere Limitată ""PARK AVENUE INVEST""","MD-2012, str. Alexandru cel Bun 49, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""PARK AVENUE INVEST"" S.R.L.","Societatea cu Răspundere Limitată ""PARK AVENUE INVEST"""
188,2025-05-14,1016606004606,"Societatea cu Răspundere Limitată ""EXPERT FISCAL""","MD-2069, str. Calea Ieşilor 1B, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ANVELOP-EXPERT""","Societatea cu Răspundere Limitată ""EXPERT FISCAL"""
189,2025-05-16,1010600015600,"Societatea cu Răspundere Limitată ""INTEMPO""","MD-2072, str. Trandafirilor 13/1, ap.(of.) 115, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MARENA DESIGN""","Societatea cu Răspundere Limitată ""INTEMPO"""
190,2025-05-16,1022600013357,"Societatea cu Răspundere Limitată ""REEVONA TECHNOLOGIES""","MD-2001, bd. Iuri Gagarin 18, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""X FAMILY GROUP""","Societatea cu Răspundere Limitată ""REEVONA TECHNOLOGIES"""
191,2025-05-16,1023600038465,"Societatea cu Răspundere Limitată ""NEW WIND ENERGY""","MD-2012, str. Armenească 28, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LVN INVEST GROUP""","Societatea cu Răspundere Limitată ""NEW WIND ENERGY"""
192,2025-05-16,1009600043531,"Asociaţia de Proprietari din Condominiu ""A0141-0009""","MD-2046, str. Ion Creangă 13, or. Vadul lui Vodă, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.54/229"" COOP","Asociaţia de Proprietari din Condominiu ""A0141- 0009"""
193,2025-05-19,1025600023142,"Societatea cu Răspundere Limitată ""RIMOBEL INDUSTRIES HUB""","MD-2002, str. Decebal 6/1, ap.(of.) 37, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""WOODLINE INDUSTRIES""","Societatea cu Răspundere Limitată ""RIMOBEL INDUSTRIES HUB"""
194,2025-05-20,1022600032422,"Societatea cu Răspundere Limitată ""GUSTOS DELICIOS""","MD-2055, str-la Ion Pruncul 2, or. Vatra, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NIKOLI LOGISTIC""","Societatea cu Răspundere Limitată ""GUSTOS DELICIOS"""
195,2025-05-20,1013600006401,"Broker de Asigurare şi Reasigurare ""BASAUTO GRUP"" Societate cu Răspundere Limitată","MD-2004, str. Bucuriei 1, mun. Chişinău, Republica Moldova","AGENT DE ASIGURARE ""BASAUTO GRUP"" S.R.L.","Broker de Asigurare şi Reasigurare ""BASAUTO GRUP"" Societate cu Răspundere Limitată"
196,2025-05-20,1009600031950,"Societatea cu Răspundere Limitată ""INSTAL EXPERT GRUP""","MD-2038, bd. Decebal 76, ap.(of.) 301, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ANDRINA LUX""","Societatea cu Răspundere Limitată ""INSTAL EXPERT GRUP"""
197,2025-05-21,1022600046960,"Societatea cu Răspundere Limitată ""TAXFLOW SOLVENTA""","MD-2044, str. Ginta Latină 12/1, ap.(of.) 58, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PLVS VLTRA""","Societatea cu Răspundere Limitată ""TAXFLOW SOLVENTA"""
198,2025-05-21,1025606005375,"Societatea cu Răspundere Limitată ""STUDIO 23 BARBER SHOP""","MD-2009, str. Vasile Alecsandri 16, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GHILAS TUDOR""","Societatea cu Răspundere Limitată ""STUDIO 23 BARBER SHOP"""
199,2025-05-23,1003604006833,"Societatea cu Răspundere Limitată ""ÎNTREPRINDEREA PENTRU COLECTAREA CEREALELOR DIN REDIUL-MARE""","MD-7131, s. Rediul Mare, r-l Ocniţa, Republica Moldova","SOCIETATEA PE ACTIUNI ""INTREPRINDEREA PENTRU COLECTAREA CEREALELOR DIN REDIUL-MARE""","Societatea cu Răspundere Limitată ""ÎNTREPRINDEREA PENTRU COLECTAREA CEREALELOR DIN REDIUL-MARE"""
200,2025-05-23,1003600072340,"Asociaţia de Proprietari din Condominiu ""A0130-0240""","MD-2021, str. Drumul Viilor 99, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/100"" COOP","Asociaţia de Proprietari din Condominiu ""A0130- 0240"""
201,2025-05-26,1003600065030,"Asociaţia de Proprietari din Condominiu ""A0150-0319""","MD-2068, bd. Moscova 28, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR. 115""","Asociaţia de Proprietari din Condominiu ""A0150- 0319"""
202,2025-05-26,1003600071158,"Asociaţia de Proprietari din Condominiu ""A0110-0261""","MD-2072, str. Independenţei 38, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/217""","Asociaţia de Proprietari din Condominiu ""A0110- 0261"""
203,2025-05-28,1024600035151,"Societatea cu Răspundere Limitată ""PRIME MEDICAL CLINIC""","MD-2065, str. Mitropolit Petru Movilă 12, ap.(of.) 4, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UNIVERSALDENT CORPORATION""","Societatea cu Răspundere Limitată ""PRIME MEDICAL CLINIC"""
204,2025-05-29,1012600012142,"Societatea cu Răspundere Limitată ""X- STYLE CERAMICA""","MD-2001, bd. Ştefan cel Mare şi Sfînt 3, ap.(of.) 244, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""X- STYLE CERAMICA"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""X-STYLE CERAMICA"""
205,2025-05-30,1024600059483,"Societatea cu Răspundere Limitată ""SUSTAINBEAUTYDREN""","MD-4439, str. Salcîmilor 21, s. Sipoteni, r-l Călăraşi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BEAUTYDREN""","Societatea cu Răspundere Limitată ""SUSTAINBEAUTYDREN"""
206,2025-06-02,1004600050042,"Asociaţia de Proprietari din Condominiu ""A0120-0273""","MD-2071, str. Alba-Iulia 81/4, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.205""","Asociaţia de Proprietari din Condominiu ""A0120- 0273"""
207,2025-06-03,1011600034417,"Societatea cu Răspundere Limitată ""PROXIMA IT SYSTEMS""","MD-2028, str. Pietrarilor 2, ap.(of.) 15, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ADRI PLUS""","Societatea cu Răspundere Limitată ""PROXIMA IT SYSTEMS"""
208,2025-06-03,1023600051745,"Societatea cu Răspundere Limitată ""PARKAGROTECH CCI""","MD-2062, bd. Dacia 58, ap.(of.) 59, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BIMBI MOISEI""","Societatea cu Răspundere Limitată ""PARKAGROTECH CCI"""
209,2025-06-04,1023600008864,"Societatea cu Răspundere Limitată ""GRID SOLUTIONS""","MD-6801, str. Moldova 2, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MI PIACE TURISMO""","Societatea cu Răspundere Limitată ""GRID SOLUTIONS"""
210,2025-06-04,1019600033438,"Societatea cu Răspundere Limitată ""FINLAW EXPERT""","MD-2029, str. Băcioii Noi 14/2, ap.(of.) 12, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ACCOUNT PULSE GENERATOR""","Societatea cu Răspundere Limitată ""FINLAW EXPERT"""
211,2025-06-04,1003600073107,"Asociaţia de Proprietari din Condominiu ""A0130-0241""","MD-2012, str. Vlaicu Pîrcălab 42, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/145"" COOP","Asociaţia de Proprietari din Condominiu ""A0130- 0241"""
212,2025-06-09,1003600051271,"Societatea cu Răspundere Limitată ""4SEASONS-CARWASH""","MD-2004, str. Mihai Viteazul 27, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CRISTINA ROSCA""","Societatea cu Răspundere Limitată ""4SEASONS- CARWASH"""
213,2025-06-09,1017600001138,"Societatea cu Răspundere Limitată ""GB LUX COMPANY""","MD-6526, str. Prieteniei 21, s. Mereni, r-l Anenii Noi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PALATUL VICTORIA""","Societatea cu Răspundere Limitată ""GB LUX COMPANY"""
214,2025-06-10,1021600004149,"Societatea cu Răspundere Limitată ""PEISAGIST360""","MD-4829, str. Gheorghe Asachi 20, s. Măgdăceşti, r-l Criuleni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BEEROK""","Societatea cu Răspundere Limitată ""PEISAGIST360"""
215,2025-06-10,1003602017192,"Asociaţia de Proprietari din Condominiu ""A0300-0125""","MD-3100, str. Ivan Ciarupin 5/a, mun. Bălţi, Republica Moldova","ASOCIATIA DE CETATENI DE LOCUINTE PRIVATE ""NR.47/31""","Asociaţia de Proprietari din Condominiu ""A0300- 0125"""
216,2025-06-10,1014600028208,"Societatea cu Răspundere Limitată ""DIGITAL DIALOG""","MD-2001, str. Lev Tolstoi 74, ap.(of.) 3, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""IT DIALOG""","Societatea cu Răspundere Limitată ""DIGITAL DIALOG"""
217,2025-06-11,1002600030493,"Societatea cu Răspundere Limitată ""BIROUL DE CĂLĂTORII DIN CHIŞINĂU""","MD-2012, str. Vasile Alecsandri 78, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""BIROUL DE CALATORII DIN CHISINAU""","Societatea cu Răspundere Limitată ""BIROUL DE CĂLĂTORII DIN CHIŞINĂU"""
218,2025-06-11,1003607000153,"Asociaţia de Proprietari din Condominiu ""A4501-0005""","MD-5001, str. Miron Costin 28, or. Floreşti, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.30/30"" COOP","Asociaţia de Proprietari din Condominiu ""A4501- 0005"""
219,2025-06-11,1019600039692,"Societatea cu Răspundere Limitată ""ALERT-SS""","MD-2028, str. Gheorghe Asachi 51, ap.(of.) 2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GSB SECURITY GROUP""","Societatea cu Răspundere Limitată ""ALERT-SS"""
220,2025-06-12,1025600027830,"Societatea cu Răspundere Limitată ""LUMIRA DEVELOPMENT""","MD-2044, str. Mihail Sadoveanu 12, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UNIC ROTAREX""","Societatea cu Răspundere Limitată ""LUMIRA DEVELOPMENT"""
221,2025-06-13,1013600024476,"Asociaţia de Proprietari din Condominiu ""A0152-0006""","MD-2089, str. Moldova 3, s. Ciorescu, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.52/144""","Asociaţia de Proprietari din Condominiu ""A0152- 0006"""
222,2025-06-16,1003600073428,"Asociaţia de Proprietari din Condominiu ""A0120-0279""","MD-2004, str. Petru Movilă 23/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/323"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0279"""
223,2025-06-16,1004603003418,"Societatea cu Răspundere Limitată ""GREEN GEAR REPAIR""","MD-7400, str. Lenin 124, or. Taraclia, Republica Moldova","SOCIETATEA COMERCIALA ""AVR-SPECTRU"" SRL","Societatea cu Răspundere Limitată ""GREEN GEAR REPAIR"""
224,2025-06-16,1005600004075,"Asociaţia de Proprietari din Condominiu ""A0120-0280""","MD-2051, str. Alba-Iulia 4, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/375"" COOP.","Asociaţia de Proprietari din Condominiu ""A0120- 0280"""
225,2025-06-17,1020606002645,"Societatea cu Răspundere Limitată ""DINU FAMILY""","MD-3501, str. Vasile Lupu 21, ap.(of.) 19, mun. Orhei, r-l Orhei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GORITA-STORES""","Societatea cu Răspundere Limitată ""DINU FAMILY"""
226,2025-06-17,1018604004813,"Societatea cu Răspundere Limitată ""PROACTIV-TRADE""","MD-4724, s. Drepcăuţi, r-l Briceni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NORDPORUMB""","Societatea cu Răspundere Limitată ""PROACTIV- TRADE"""
227,2025-06-18,1020600024096,"Societatea cu Răspundere Limitată ""CONSTRUCT FORCE""","MD-2012, str. Alexei Şciusev 39, ap.(of.) 4, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MEDIATECH GROUP""","Societatea cu Răspundere Limitată ""CONSTRUCT FORCE"""
228,2025-06-18,1012600005706,"Societatea cu Răspundere Limitată ""FORVIS MAZARS AUDIT""","MD-2069, str. Calea Ieşilor 8/1, ap.(of.) 9C, mun. Chişinău, Republica Moldova","SOCIETATE DE AUDIT ""ATA CONSULT"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""FORVIS MAZARS AUDIT"""
229,2025-06-18,1023606006699,"Societatea pe Acţiuni ""XVG ATLAS GROUP""","MD-3541, str. Mihai Eminescu 2, s. Peresecina, r-l Orhei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""XVG ATLAS GROUP""","Societatea pe Acţiuni ""XVG ATLAS GROUP"""
230,2025-06-19,1003600039345,"Societatea cu Răspundere Limitată ""RENET""","MD-2005, str. Alexandr Puşkin 50, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""RENET""","Societatea cu Răspundere Limitată ""RENET"""
231,2025-06-19,1008600048090,"Societatea cu Răspundere Limitată ""SOFT EDGE""","MD-2005, bd. Renaşterii Naţionale 14, ap.(of.) 73, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""B & S RESO NET M"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""SOFT EDGE"""
232,2025-06-20,1013600010536,"Organizaţia de Creditare Nebancară ""MK KREDIT COMPANY"" Societate cu Răspundere Limitată","MD-2069, str. Calea Ieşilor 17/2,, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""MIKRO KAPITAL COMPANY"" SOCIETATE CU RASPUNDERE LIMITATA","Organizaţia de Creditare Nebancară ""MK KREDIT COMPANY"" Societate cu Răspundere Limitată"
233,2025-06-23,1016600021708,"Societatea cu Răspundere Limitată ""PRIME EXPERT GROUP""","MD-2072, str. Grenoble 257, ap.(of.) 23, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRIME EXPERT HOUSE""","Societatea cu Răspundere Limitată ""PRIME EXPERT GROUP"""
234,2025-06-24,1020600038800,"Societatea cu Răspundere Limitată ""RIVER HOUSE""","MD-4233, s. Slobozia, r-l Ştefan Vodă, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""VEREBCEAN CRISTIAN""","Societatea cu Răspundere Limitată ""RIVER HOUSE"""
235,2025-06-24,1019600059812,"Societatea cu Răspundere Limitată ""SEO AGRII""","MD-2071, str. Alba-Iulia 184, ap.(of.) 120, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SEOLA PUB""","Societatea cu Răspundere Limitată ""SEO AGRII"""
236,2025-06-25,1003600074311,"Asociaţia de Proprietari din Condominiu ""A0110-0262""","MD-2002, sos. Munceşti 166, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.74""","Asociaţia de Proprietari din Condominiu ""A0110- 0262"""
237,2025-06-25,1015600018248,"Societatea cu Răspundere Limitată ""TAROGO GROUP""","MD-2012, str. Mitropolit Dosoftei 102, ap.(of.) 40, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""G.A.V. GROUP""","Societatea cu Răspundere Limitată ""TAROGO GROUP"""
238,2025-06-25,1009600010489,"Societatea cu Răspundere Limitată ""SAVVIDES-MONARK""","MD-6801, str. Alexandru cel Bun 31, ap.(of.) 96, or. Ialoveni, Republica Moldova","INTREPRINDEREA MIXTA ""SAVVIDES- MONARK"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""SAVVIDES- MONARK"""
239,2025-06-26,1003600023559,"Societatea pe Acţiuni ""ADMINISTRAŢIA NAŢIONALĂ A DRUMURILOR""","MD-2004, str. Bucuriei 12/a, mun. Chişinău, Republica Moldova","INTREPRINDEREA DE STAT ""ADMINISTRATIA DE STAT A DRUMURILOR""","Societatea pe Acţiuni ""ADMINISTRAŢIA NAŢIONALĂ A DRUMURILOR"""
240,2025-06-26,1004600045312,"Întreprinderea Municipală Centrul Lingvistic Casa Limbii Române ""NICHITA STĂNESCU""","MD-2009, str. Mihail Kogălniceanu 90, mun. Chişinău, Republica Moldova","INTREPRINDEREA MUNICIPALA ""CASA LIMBII ROMANE NICHITA STANESCU""","Întreprinderea Municipală Centrul Lingvistic Casa Limbii Române ""NICHITA STĂNESCU"""
241,2025-06-27,1023600003353,"Societatea cu Răspundere Limitată ""ALLIED PROPERTY GROUP""","MD-2009, str. Constantin Stere 20, ap.(of.) 5, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BWP ENERGY COMPANY""","Societatea cu Răspundere Limitată ""ALLIED PROPERTY GROUP"""
242,2025-06-27,1023600003397,"Societatea cu Răspundere Limitată ""ALLIED PROPERTY LIMITED""","MD-2009, str. Constantin Stere 20, ap.(of.) 5, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CWP COM ENERGY""","Societatea cu Răspundere Limitată ""ALLIED PROPERTY LIMITED"""
243,2025-06-27,1024600088537,"Societatea cu Răspundere Limitată ""DMM FARM FIELDS""","MD-4841, s. Zăicana, r-l Criuleni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MDM FARM""","Societatea cu Răspundere Limitată ""DMM FARM FIELDS"""
244,2025-06-30,1003600071077,"Asociaţia de Proprietari din Condominiu ""A0111-0004""","MD-2091, str. Şleahul Puhoiului 5, or. Sîngera, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/213""","Asociaţia de Proprietari din Condominiu ""A0111- 0004"""
245,2025-07-01,1025600021001,"Societatea cu Răspundere Limitată ""C- TM IT""","MD-6801, str. Alexandru Cristea 34, ap.(of.) 123, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CROWE IT""","Societatea cu Răspundere Limitată ""C-TM IT"""
246,2025-07-02,1016600009573,"Societatea cu Răspundere Limitată ""C- TM LEGAL""","MD-2001, str. Mihail Kogălniceanu 17/3, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CROWE""","Societatea cu Răspundere Limitată ""C-TM LEGAL"""
247,2025-07-03,1022600028412,"Societatea cu Răspundere Limitată ""FOLHINHA""","MD-2044, str. Mihail Sadoveanu 20/1, ap.(of.) 11, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ALOCALL CENTRE""","Societatea cu Răspundere Limitată ""FOLHINHA"""
248,2025-07-03,1008600009738,"Societatea cu Răspundere Limitată ""B & M TEST""","MD-2012, str. Alexandr Puşkin 5A, et. III, ap.(of.) 13-20, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI ""B & M TEST""","Societatea cu Răspundere Limitată ""B & M TEST"""
249,2025-07-03,1018600026039,"Societatea cu Răspundere Limitată ""DASC ASSET MANAGEMENT""","MD-2003, str. Tudor Vladimirescu 131, ap.(of.) 501, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""HAZELNUT ASSET MANAGEMENT""","Societatea cu Răspundere Limitată ""DASC ASSET MANAGEMENT"""
250,2025-07-04,1004601001018,"Societatea cu Răspundere Limitată ""BOSCO DI NOCI""","MD-6538, s. Ţînţăreni, r-l Anenii Noi, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""BOSCO DI NOCI"" S.R.L.","Societatea cu Răspundere Limitată ""BOSCO DI NOCI"""
251,2025-07-07,1002604000801,"Societatea cu Răspundere Limitată ""BAZA DE TRANSPORT AUTO-12 EDINEŢ""","MD-4601, str. Independenţei 19, mun. Edineţ, r- l Edineţ, Republica Moldova","SOCIETATEA PE ACTIUNI ""BAZA DE TRANSPORT AUTO-12 EDINET""","Societatea cu Răspundere Limitată ""BAZA DE TRANSPORT AUTO-12 EDINEŢ"""
252,2025-07-07,1023600050564,"Societatea cu Răspundere Limitată ""SERVICII CONTABILE""","MD-4219, s. Ermoclia, r-l Ştefan Vodă, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""OPEN MEDIA FINANCE""","Societatea cu Răspundere Limitată ""SERVICII CONTABILE"""
253,2025-07-07,1008600012327,"Societatea cu Răspundere Limitată ""ITON SOFTWARE""","MD-2071, str. Angela Păduraru 7, ap.(of.) 15, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NOVICE LUX""","Societatea cu Răspundere Limitată ""ITON SOFTWARE"""
254,2025-07-08,1003600064505,"Asociaţia de Proprietari din Condominiu ""A0150-0320""","MD-2014, bd. Moscova 15/2, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.52/170""","Asociaţia de Proprietari din Condominiu ""A0150- 0320"""
255,2025-07-08,1003600072557,"Asociaţia de Proprietari din Condominiu ""A0120-0284""","MD-2069, str. 27 Martie 1918 3, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/130"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0284"""
256,2025-07-09,1003600071228,"Asociaţia de Proprietari din Condominiu ""A0130-0242""","MD-2028, str. Gheorghe Asachi 62/5, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/113"" COOP","Asociaţia de Proprietari din Condominiu ""A0130- 0242"""
